STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
BYAR,Byars,OK,34.85,-97.00,2019,9,9,14,55,90,65,44, ,92,S,18,28,1014.68,91,73, 
CAMA,Camargo,OK,36.03,-99.35,2019,9,9,14,55,89,64,44, ,91,S,25,30,1012.56,92,68,0.07
CARL,Lake Carl Blackwell,OK,36.15,-97.29,2019,9,9,14,55,92,61,36, ,92,S,16,24,1012.44,93,72, 
CENT,Centrahoma,OK,34.61,-96.33,2019,9,9,14,55,92,67,44, ,95,S,11,18,1014.45,92,67, 
CHAN,Chandler,OK,35.65,-96.80,2019,9,9,14,55,90,64,41, ,92,SSE,14,23,1013.95,91,70, 
CHER,Cherokee,OK,36.75,-98.36,2019,9,9,14,55,93,66,42, ,96,S,20,26,1011.34,94,75, 
CHEY,Cheyenne,OK,35.55,-99.73,2019,9,9,14,55,88,61,41, ,88,SSW,18,26,1013.39,91,71, 
CHIC,Chickasha,OK,35.03,-97.91,2019,9,9,14,55,94,62,35, ,95,S,20,26,1012.89,95,72, 
CLAY,Clayton,OK,34.66,-95.33,2019,9,9,14,55,93,60,33, ,92,SSW,8,12,1014.77,93,65, 
CLOU,Cloudy,OK,34.22,-95.25,2019,9,9,14,55,93,62,36, ,94,S,7,14,1015.58,94,66, 
COOK,Cookson,OK,35.68,-94.85,2019,9,9,14,55,90,70,53, ,96,S,3,7,1015.57,90,69, 
COPA,Copan,OK,36.91,-95.89,2019,9,9,14,55,91,68,47, ,95,S,15,21,1013.75,92,72, 
DURA,Durant,OK,33.92,-96.32,2019,9,9,14,55,93,66,41, ,95,SSE,11,16,1014.54,93,69, 
ELKC,Elk City,OK,35.33,-99.39,2019,9,9,14,55,88,61,40, ,88,S,20,26,1012.44,92,75, 
ELRE,El Reno,OK,35.55,-98.04,2019,9,9,14,55,91,66,43, ,94,SSE,20,28,1012.99,93,68, 
ERIC,Erick,OK,35.20,-99.80,2019,9,9,14,55,91,60,35, ,91,S,14,19,1012.59,92,72, 
EUFA,Eufaula,OK,35.30,-95.66,2019,9,9,14,55,93,67,42, ,97,S,12,17,1014.18,93,71, 
EVAX,Eva,OK,36.92,-101.78,2019,9,9,14,55,90,62,39, ,90,SSW,22,29,1012.17,90,65,0.04
FAIR,Fairview,OK,36.26,-98.50,2019,9,9,14,55,94,64,38, ,96,SSW,19,27,1011.63,94,74, 
FITT,Fittstown,OK,34.55,-96.72,2019,9,9,14,55,89,69,53, ,93,SSE,13,18,1015.08,89,67, 
FORA,Foraker,OK,36.84,-96.43,2019,9,9,14,55,90,68,49, ,94,SSE,18,26,1013.63,90,68, 
FREE,Freedom,OK,36.73,-99.14,2019,9,9,14,55,91,62,38, ,92,S,23,32,1011.57,94,69,0.05
FTCB,Fort Cobb,OK,35.15,-98.47,2019,9,9,14,55,88,65,46, ,90,SSE,21,28,1012.64,91,68, 
GOOD,Goodwell,OK,36.60,-101.60,2019,9,9,14,55,86,64,47, ,87,S,22,30,1011.97,88,66,0.01
GRA2,Grandfield,OK,34.24,-98.74,2019,9,9,14,55,99,61,29, ,100,S,18,27,1012.18,99,76, 
GUTH,Guthrie,OK,35.85,-97.48,2019,9,9,14,55,93,64,38, ,95,SSE,15,21,1012.52,94,74, 
HASK,Haskell,OK,35.75,-95.64,2019,9,9,14,55,92,70,48, ,98,S,13,19,1014.26,93,69, 
HECT,Hectorville,OK,35.84,-96.00,2019,9,9,14,55,92,65,41, ,94,S,9,16,1014.31,92,72, 
HINT,Hinton,OK,35.48,-98.48,2019,9,9,14,55,89,65,45, ,91,SSE,16,24,1013.03,93,70, 
HOBA,Hobart,OK,34.99,-99.05,2019,9,9,14,55,93,61,34, ,93,S,21,27,1012.36,93,74, 
HOLD,Holdenville,OK,35.07,-96.36,2019,9,9,14,55,90,65,44, ,93,S,12,17,1014.52,91,70, 
HOLL,Hollis,OK,34.69,-99.83,2019,9,9,14,55,94,59,32, ,93,S,18,25,1011.82,94,76, 
HOOK,Hooker,OK,36.86,-101.23,2019,9,9,14,55,87,62,44, ,88,SSW,22,31,1011.87,89,68, 
HUGO,Hugo,OK,34.03,-95.54,2019,9,9,14,55,93,65,40, ,95,SSW,14,20,1015.21,93,70, 
IDAB,Idabel,OK,33.83,-94.88,2019,9,9,14,55,94,65,39, ,96,SW,10,14,1015.16,94,67, 
INOL,Inola,OK,36.14,-95.45,2019,9,9,14,55,91,71,51, ,98,SSE,13,19,1014.71,92,67, 
JAYX,Jay,OK,36.48,-94.78,2019,9,9,14,55,90,67,47, ,93,SSW,9,17,1015.86,91,72, 
KENT,Kenton,OK,36.83,-102.88,2019,9,9,14,55,89,54,31, ,87,SSW,20,29,1012.63,90,61,0.49
KETC,Ketchum Ranch,OK,34.53,-97.76,2019,9,9,14,55,92,64,40, ,94,SSE,15,24,1013.69,93,73, 
KIN2,Kingfisher,OK,35.85,-97.95,2019,9,9,14,55,94,66,39, ,97,S,23,29,1012.13,96,75, 
LAHO,Lahoma,OK,36.38,-98.11,2019,9,9,14,55,92,65,42, ,94,S,19,25,1012.04,93,71, 
LANE,Lane,OK,34.31,-96.00,2019,9,9,14,55,91,66,43, ,94,S,10,19,1014.62,94,66, 
MADI,Madill,OK,34.04,-96.94,2019,9,9,14,55,91,68,48, ,95,SSW,9,13,1014.30,91,70, 
MANG,Mangum,OK,34.84,-99.42,2019,9,9,14,55,94,61,34, ,94,S,17,24,1011.88,94,69, 
MARE,Marena,OK,36.06,-97.21,2019,9,9,14,55,92, , , , ,SSE,16,24,1012.92,92,71, 
MAYR,May Ranch,OK,36.99,-99.01,2019,9,9,14,55,92,64,40, ,94,S,18,28,1011.77,93,71, 
MCAL,McAlester,OK,34.88,-95.78,2019,9,9,14,55,93,64,38, ,94,S,6,13,1014.66,94,69, 
MEDF,Medford,OK,36.79,-97.75,2019,9,9,14,55,94,65,38, ,96,SSE,23,33,1011.67,95,77, 
MEDI,Medicine Park,OK,34.73,-98.57,2019,9,9,14,55,94,62,34, ,95,S,20,33,1013.01,95,72, 
MIAM,Miami,OK,36.89,-94.84,2019,9,9,14,55,90,69,49, ,95,SSW,16,21,1014.93,91,74, 
MINC,Minco,OK,35.27,-97.96,2019,9,9,14,55,91,65,42, ,94,S,23,28,1013.22,91,69, 
MRSH,Marshall,OK,36.12,-97.61,2019,9,9,14,55,94,63,36, ,96,S,17,23,1012.03,95,75, 
MTHE,Mt Herman,OK,34.31,-94.82,2019,9,9,14,55,90,64,41, ,92,SSE,9,15,1016.26,91,68, 
NEWK,Newkirk,OK,36.90,-96.91,2019,9,9,14,55,90,66,45, ,92,S,15,21,1013.54,90,73, 
NEWP,Newport,OK,34.23,-97.20,2019,9,9,14,55,90,70,52, ,95,SSE,14,19,1014.24,90,69, 
NOWA,Nowata,OK,36.74,-95.61,2019,9,9,14,55,90,71,53, ,97,S,17,23,1014.08,91,71, 
NRMN,Norman,OK,35.24,-97.46,2019,9,9,14,55,90,67,46, ,93,SSE,12,19,1013.85,91,73, 
OILT,Oilton,OK,36.03,-96.50,2019,9,9,14,55,91,67,45, ,95,SSE,12,19,1013.71,91,72, 
OKCE,Oklahoma City East,OK,35.47,-97.46,2019,9,9,14,55,91,65,42, ,93,SSE,12,21,1013.52,92,74, 
OKEM,Okemah,OK,35.43,-96.26,2019,9,9,14,55,92,65,42, ,94,S,11,17,1014.54,94,70, 
OKMU,Okmulgee,OK,35.58,-95.91,2019,9,9,14,55,92,64,40, ,94,S,10,16,1014.34,93,64, 
PAUL,Pauls Valley,OK,34.72,-97.23,2019,9,9,14,55,90,69,50, ,94,SSE,11,19,1014.27,91,68, 
PAWN,Pawnee,OK,36.36,-96.77,2019,9,9,14,55,89,66,46, ,92,S,13,19,1013.48,92,71, 
PERK,Perkins,OK,36.00,-97.05,2019,9,9,14,55,93,60,33, ,93,SSE,19,26,1013.17,94,71, 
PORT,Porter,OK,35.83,-95.56,2019,9,9,14,55,92,70,49, ,98,SSE,11,17,1014.72,92,72, 
PRYO,Pryor,OK,36.37,-95.27,2019,9,9,14,55,90,72,55, ,97,S,12,18,1014.73,90,71, 
PUTN,Putnam,OK,35.90,-98.96,2019,9,9,14,55,89,64,44, ,90,S,20,24,1013.27,93,75, 
REDR,Red Rock,OK,36.36,-97.15,2019,9,9,14,55,93,63,37, ,94,S,15,21,1012.58,93,72, 
RING,Ringling,OK,34.19,-97.59,2019,9,9,14,55,94,63,37, ,95,S,19,24,1013.81,94,68, 
SALL,Sallisaw,OK,35.44,-94.80,2019,9,9,14,55,94,72,49, ,102,S,6,10,1014.76,94,71, 
SEIL,Seiling,OK,36.19,-99.04,2019,9,9,14,55,93,63,37, ,94,SSW,17,24,1012.49,93,75, 
SEMI,Seminole,OK,35.18,-96.70,2019,9,9,14,55,90,67,48, ,93,S,12,20,1014.50,90,70, 
SHAW,Shawnee,OK,35.36,-96.95,2019,9,9,14,55,92,67,44, ,95,SSE,19,26,1014.27,93,71, 
SKIA,Skiatook,OK,36.42,-96.04,2019,9,9,14,55,90,68,48, ,94,S,11,16,1014.16,91,71, 
SLAP,Slapout,OK,36.60,-100.26,2019,9,9,14,55,89,62,40, ,90,SSW,22,30,1012.08,91,70,0.01
SPEN,Spencer,OK,35.54,-97.34,2019,9,9,14,55,90,67,46, ,94,SSE,12,19,1013.65,91,74, 
STIG,Stigler,OK,35.27,-95.18,2019,9,9,14,55,94,63,36, ,95,S,15,23,1014.46,93,66, 
STIL,Stillwater,OK,36.12,-97.10,2019,9,9,14,55,93,60,34, ,92,S,11,19,1012.89,93,73, 
STUA,Stuart,OK,34.88,-96.07,2019,9,9,14,55,94,64,38, ,96,S,13,22,1014.82,94,66, 
SULP,Sulphur,OK,34.57,-96.95,2019,9,9,14,55,90,68,49, ,94,S,14,21,1014.86,90,71, 
TAHL,Tahlequah,OK,35.97,-94.99,2019,9,9,14,55,90,70,51, ,95,S,11,16,1015.86,91,71, 
TALA,Talala,OK,36.57,-95.75,2019,9,9,14,55,90,70,52, ,97,SSE,20,26,1014.34,91,71, 
TALI,Talihina,OK,34.71,-95.01,2019,9,9,14,55,95,62,34, ,96,S,8,13,1015.15,95,64, 
TIPT,Tipton,OK,34.44,-99.14,2019,9,9,14,55,97,60,30, ,97,S,20,27,1011.82,97,75, 
TISH,Tishomingo,OK,34.33,-96.68,2019,9,9,14,55,90,69,50, ,95,SSE,16,22,1014.74,90,66, 
TULN,Tulsa,OK,36.20,-95.94,2019,9,9,14,55,91,69,48, ,96,SSE,11,20,1014.16,91,76, 
VALL,Valliant,OK,33.94,-95.11,2019,9,9,14,55,95,67,40, ,98,S,9,12,1015.15,95,67, 
VINI,Vinita,OK,36.78,-95.22,2019,9,9,14,55,90,71,54, ,96,SSW,14,17,1014.88,90,70, 
WAL2,Walters,OK,34.40,-98.35,2019,9,9,14,55,95,64,37, ,97,S,24,30,1012.66,95,70, 
WASH,Washington,OK,34.98,-97.52,2019,9,9,14,55,93,68,44, ,97,S,12,17,1013.93,93,66, 
WATO,Watonga,OK,35.84,-98.53,2019,9,9,14,55,90,66,44, ,93,S,20,29,1013.23,94,75, 
WAUR,Waurika,OK,34.17,-97.99,2019,9,9,14,55,93,62,36, ,94,S,15,22,1013.44,93,71, 
WEAT,Weatherford,OK,35.51,-98.78,2019,9,9,14,55,89,64,43, ,90,S,18,23,1012.83,89,74, 
WEBR,Webbers Falls,OK,35.49,-95.12,2019,9,9,14,55,91,73,56, ,99,SSE,7,11,1014.49,91,71, 
WEST,Westville,OK,36.01,-94.64,2019,9,9,14,55,87,70,57, ,91,S,6,11,1016.47,89,70, 
WILB,Wilburton,OK,34.90,-95.35,2019,9,9,14,55,92,65,41, ,94,SSE,12,18,1014.74,93,65, 
WIST,Wister,OK,34.98,-94.69,2019,9,9,14,55,94,61,34, ,95,SSW,14,19,1014.55,95,63, 
WOOD,Woodward,OK,36.42,-99.42,2019,9,9,14,55,92,61,36, ,92,S,22,35,1012.47,92,69,0.02
WYNO,Wynona,OK,36.52,-96.34,2019,9,9,14,55,91,66,44, ,93,SSE,20,29,1013.55,91,70, 
YUKO,Yukon,OK,35.56,-97.76,2019,9,9,14,55,90,66,44, ,93,S,17,22,1013.40,91,73, 
